DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv', wd=2, mask=IN_ATTRIB, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/source.txt', wd=2, mask=IN_ATTRIB, cookie=0, name=source.txt>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/[TGx]Downloaded from torrentgalaxy.to .txt', wd=2, mask=IN_ATTRIB, cookie=0, name=[TGx]Downloaded from torrentgalaxy.to .txt>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]', wd=1, mask=IN_ATTRIB|IN_ISDIR, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]', wd=2, mask=IN_ATTRIB|IN_ISDIR, cookie=0, name=>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/', wd=1, mask=IN_ATTRIB|IN_ISDIR, cookie=0, name=>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/', wd=1, mask=IN_ATTRIB|IN_ISDIR, cookie=0, name=>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]', wd=1, mask=IN_ATTRIB|IN_ISDIR, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]', wd=2, mask=IN_ATTRIB|IN_ISDIR, cookie=0, name=>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv', wd=2, mask=IN_ATTRIB, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/source.txt', wd=2, mask=IN_ATTRIB, cookie=0, name=source.txt>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/[TGx]Downloaded from torrentgalaxy.to .txt', wd=2, mask=IN_ATTRIB, cookie=0, name=[TGx]Downloaded from torrentgalaxy.to .txt>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv', wd=2, mask=IN_ATTRIB, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/source.txt', wd=2, mask=IN_ATTRIB, cookie=0, name=source.txt>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/[TGx]Downloaded from torrentgalaxy.to .txt', wd=2, mask=IN_ATTRIB, cookie=0, name=[TGx]Downloaded from torrentgalaxy.to .txt>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]', wd=1, mask=IN_ATTRIB|IN_ISDIR, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]', wd=2, mask=IN_ATTRIB|IN_ISDIR, cookie=0, name=>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/', wd=1, mask=IN_ATTRIB|IN_ISDIR, cookie=0, name=>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/', wd=1, mask=IN_ATTRIB|IN_ISDIR, cookie=0, name=>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]', wd=1, mask=IN_ATTRIB|IN_ISDIR, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]', wd=2, mask=IN_ATTRIB|IN_ISDIR, cookie=0, name=>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv', wd=2, mask=IN_ATTRIB, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/source.txt', wd=2, mask=IN_ATTRIB, cookie=0, name=source.txt>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/[TGx]Downloaded from torrentgalaxy.to .txt', wd=2, mask=IN_ATTRIB, cookie=0, name=[TGx]Downloaded from torrentgalaxy.to .txt>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv', wd=2, mask=IN_DELETE, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/source.txt', wd=2, mask=IN_DELETE, cookie=0, name=source.txt>
